 From deresol.f
 Units of 1E+4 part/m^3
# AEROSOL TYPE: BLACKCARB SIZE BIN:  9 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  9 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 10 VERTICAL LEVEL:  1
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 10 VERTICAL LEVEL:  2
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 10 VERTICAL LEVEL:  3
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 10 VERTICAL LEVEL:  4
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 10 VERTICAL LEVEL:  5
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 10 VERTICAL LEVEL:  6
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 10 VERTICAL LEVEL:  7
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 10 VERTICAL LEVEL:  8
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 10 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 10 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 11 VERTICAL LEVEL:  1
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 11 VERTICAL LEVEL:  2
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 11 VERTICAL LEVEL:  3
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 11 VERTICAL LEVEL:  4
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 11 VERTICAL LEVEL:  5
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 11 VERTICAL LEVEL:  6
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 11 VERTICAL LEVEL:  7
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN: 11 VERTICAL LEVEL:  8
